Model,Sequence_Length,Embedding_Dim,Learning_Rate,HR@10,NDCG@10
SASRec,10,16,0.0005,0.3251,0.23483676487957156
GRU4Rec,10,16,0.0005,0.4179,0.34703193359453127
SASRec,10,16,0.001,0.4316,0.3540084105331261
GRU4Rec,10,16,0.001,0.4463,0.3642689262158777
SASRec,10,16,0.005,0.4795,0.3873164768275325
GRU4Rec,10,16,0.005,0.4564,0.3744827807224274
SASRec,10,32,0.0005,0.3886,0.3012481767332072
GRU4Rec,10,32,0.0005,0.4389,0.3601839054323235
SASRec,10,32,0.001,0.4385,0.3620805245685681
GRU4Rec,10,32,0.001,0.4468,0.3660832770884563
SASRec,10,32,0.005,0.4917,0.39724140041517386
GRU4Rec,10,32,0.005,0.4573,0.3753832448963797
SASRec,10,64,0.0005,0.4208,0.3414884309699974
GRU4Rec,10,64,0.0005,0.4215,0.35173917596895304
SASRec,10,64,0.001,0.4463,0.3667594488025753
GRU4Rec,10,64,0.001,0.4303,0.35533142052760797
SASRec,10,64,0.005,0.505,0.40585756949338675
GRU4Rec,10,64,0.005,0.4508,0.36367743826433485
SASRec,10,128,0.0005,0.4299,0.3526117706003365
GRU4Rec,10,128,0.0005,0.428,0.35251681797059614
SASRec,10,128,0.001,0.4463,0.3698267238344617
GRU4Rec,10,128,0.001,0.429,0.3542057088970858
SASRec,10,128,0.005,0.4586,0.3678775316432416
GRU4Rec,10,128,0.005,0.5006,0.400456931443273
SASRec,10,256,0.0005,0.4376,0.36321647785578637
GRU4Rec,10,256,0.0005,0.4221,0.35000498722025525
SASRec,10,256,0.001,0.4404,0.36596962247092585
GRU4Rec,10,256,0.001,0.4233,0.3486577247708306
SASRec,10,256,0.005,0.4287,0.3495284148559934
GRU4Rec,10,256,0.005,0.5575,0.43013606774631974
SASRec,30,16,0.0005,0.3944,0.30365289758688807
GRU4Rec,30,16,0.0005,0.4301,0.355692034012486
SASRec,30,16,0.001,0.4121,0.3262415774200065
GRU4Rec,30,16,0.001,0.4325,0.3573422381589768
SASRec,30,16,0.005,0.5115,0.4066972471826915
GRU4Rec,30,16,0.005,0.4754,0.3866993342704188
SASRec,30,32,0.0005,0.3999,0.31051098050504006
GRU4Rec,30,32,0.0005,0.4301,0.35471806172834003
SASRec,30,32,0.001,0.4489,0.3637155564632323
GRU4Rec,30,32,0.001,0.426,0.35590445169736956
SASRec,30,32,0.005,0.5192,0.41109577493033767
GRU4Rec,30,32,0.005,0.4416,0.36310417093399955
SASRec,30,64,0.0005,0.417,0.33053407358271286
GRU4Rec,30,64,0.0005,0.4186,0.35049622543115
SASRec,30,64,0.001,0.4615,0.37681870757836583
GRU4Rec,30,64,0.001,0.4235,0.3508866858840843
SASRec,30,64,0.005,0.5193,0.4095812127467653
GRU4Rec,30,64,0.005,0.4404,0.3598216453597659
SASRec,30,128,0.0005,0.4346,0.3548468095657921
GRU4Rec,30,128,0.0005,0.4132,0.34848172357731994
SASRec,30,128,0.001,0.4581,0.3774648354887393
GRU4Rec,30,128,0.001,0.4194,0.34846926509627113
SASRec,30,128,0.005,0.4457,0.3596777693881758
GRU4Rec,30,128,0.005,0.4872,0.39351480787164783
SASRec,30,256,0.0005,0.4408,0.36411341942458103
GRU4Rec,30,256,0.0005,0.4133,0.3462958660206258
SASRec,30,256,0.001,0.4505,0.3742599430769782
GRU4Rec,30,256,0.001,0.4158,0.3457126159530428
SASRec,30,256,0.005,0.4278,0.3504739915041531
GRU4Rec,30,256,0.005,0.5229,0.4132759381394091
SASRec,50,16,0.0005,0.3705,0.27680293815077883
GRU4Rec,50,16,0.0005,0.4295,0.35443850896075335
SASRec,50,16,0.001,0.4415,0.3578084261782823
GRU4Rec,50,16,0.001,0.4488,0.36561823503773583
SASRec,50,16,0.005,0.5089,0.40363828887144554
GRU4Rec,50,16,0.005,0.4813,0.38687016600785396
SASRec,50,32,0.0005,0.3972,0.3053318719566201
GRU4Rec,50,32,0.0005,0.4259,0.3540599564194564
SASRec,50,32,0.001,0.4576,0.3742208758009329
GRU4Rec,50,32,0.001,0.4247,0.35401082888126134
SASRec,50,32,0.005,0.5387,0.4241768468674849
GRU4Rec,50,32,0.005,0.443,0.3638224803944925
SASRec,50,64,0.0005,0.4248,0.3381566024693316
GRU4Rec,50,64,0.0005,0.4168,0.3472853608910237
