uid,train_sequence,val_item,test_item
1,[292055 485008 485008 ... 687606 395440 687606],322782,702267
2,"[511458 919570 919570 541587 496634 496634 394718 350590 394718 496584
 204737 803594 204850 262960 511893 204850 234321 876248 321355  58922
  58922 905372 598654  14808 219059 598600 438314 204970 789166 350661
 657774 862228 613445]",482211,131656
3,[452856 540201 554748 ... 190126 379902 818221],365383,629457
4,[ 45631 877012 659077 ... 924852 628218 117144],204375,570266
5,[291979 291979 707298 ...    484    451 161120],307105,423861
6,"[467777 921587 359240 673360 819955 494678 275147 450891 231719 308415
 888569 611427 801674 392204 849119 308006 161890 903256 655324  89271
 717730 100475 923280 110455 237269   8747 480210 264425 412247 794038
 384797 706479 589134 336819 158875  71494 260666 158631 874037 480211
 717730 161890 110455 903256 158631 359240 336819 308415 849119 308006
 702174 819955 158631 801674 794038 384797 903256 336819 423344 730894
 308415 655324 888569  71494 392204 308006 260666 494678 819955 231719
 589134 480211 158875 673360 161890 359240 450891 874037 275147 611427
 849119 702174 110455 706479 717730 482059  59542 468221 551957 540949
 468221 657588 233771 321336 555095 365608 117399 204382 234008 890859
    343  44184 395390 321637 642734 110615 847346 890859 665113 270641
 636179 365608 584620 716303 482046 277638 277638  15057 234012 262552
  29899 569425 818275 540522 262750 208325 467778 219256 660278 699479]",743307,687121
7,[452954 452855 496584 ... 482145 146281 146281],598612,583962
8,[190404 146451 190466 ... 321778 160768 350935],118440,350935
9,[438104 135915 672153 ... 131660 804554 423974],44155,321420
10,"[919634 262600 542281 542281 336673  88642 496946 599082 716539 818415
 146915 716539  15786 920592 540849 366020 453227 919634 716539 716539
 818415 452855 583962 365663 366642 657527 630941 380035 775403 278309
 542223 748050 410011 207226  16045    713 380238 511638 861494  29878
 721159 833066 599108  59579 262966 176155 876630 861980 409812 630133
 775634 731762 469158 790104 178214 161951  74630 891734 584619 585207
 701388 207223 819501 877086  75203 526949 835251 527008 643809 497204
 760953 760676 176102 223900 382332 732058 366182 716539 818415 146915
 322057 818415 716540  74050 613828 350849 438830  45260 277693 423613
 527763 600058 438209 584220 175875 482381 717027 234812 832633 496671
 905115 292655 175803 876094 190411  15378  15378 146699 526127 804103
 847716 205009 292660 833230 746667 380772 497563 891098 718438  88583
 321811  30230 876564 322023 600080 862188 380240 804241 308048 760653
 891217 262600 716183 511499 147286  89010 540869 818496 438433 438804
    708 350849 467912  30230 190571 468160 453585 920000 905399 408886
 642714 658598 775795 337809 234350 409247 468126 526423 117749 599260
 204658  71497  15378 818753  45615 687080 819498 423984 234355 920278
 102924 921012 263256  30256 832604 832604 336670 468130 569893 526442
  15378 833203 716344 584603  88585 438854 570481 628829 307333  15378
 453594 190951  15378 832568 861714 511458  15378 541296 891211 905870
 525870  15378 380036 350849 760640 146934 555413 175894 161163 526994
 263257  30710 161402 161411 511458  17281 248739  15378 628872 628872
 423990 731159 760663 760643 906171 104145 718859  91144 599108 382332
 292702 906171 104145 718859  91144 733817 324669 433385 271022 555878
 175452 527360 905082 102521 496628 468439 642724  17281  17281 161172
 891294 686844 248692  15378 774666 732058    851 657573 351009 127458
  57048 559711  15381 730955 248467 417798 190412  15089 321825 262600
 760139 672134 468182 221110 540372 497243 760647 628798  15378 861496
  30230 818734 775093 833194  15378 569904 569904 423694 262600 440989
 848276  15386 482485 277575 760805 525837 657471  15378 643329 482722
 702305 307326  30023 746664  45509 453810 408627 423330 380107 702515
 336330 234375 749768 818280 176097 569937 642724 891033  15378  15378
  74068 277764  59506 352015 775800 292484 176790 862057 190618 614079
 573478 131654 834394  15378 234377 278519 190929 862246 745923 423995
 774846 365879 712653  15378 161405 277822  15378  33595 556187 687631
 775064 118213 833637 804220  15753  15378 350849 818415 716539  74051
  74050 613828 584621 292660 146915 743315 760676  59381 804102 307328
  15378 234362 277793 248909 350849 716539  74051  74050 613828 292660
 716540 219749 745909 921619 745908  15378 336673  45609]",643044,730827
11,"[423418 408763 382172 175601 599294 234225 850003 234225 672830  73700
 672830 850003  73700 659109 102772  73415 102772  73415  73415 861672
 394230  30661 350940 584535 832632 511445 832887 191035 175455 584270
  74472 891884 629471 585275 629471 671828 640799 304761 600864 596681
 600864 222119 567430 644595 799600 199542 681581 182189 185328 114210
 816229 689706 114210 158886 697184 348600 684724 100479 626188 383458
 115239  25863 538353 605297 671828 861672 585275 584535 832632  74472
 350940 511445 567430 632250 540216 124869 781009 339476 764641 632869
 339475 790407 863279 442925 573995 469561  19483 880614 428088 222576
 107281 793626 586637 745526 222576 834929 339476 266129 424877 570521
 833990 439036 833990 439036 833990 701298 439036 439036 439036 701298
 131692 657265 657226 703399 294081 839021 743323 743323 839021 509275
 713967 903265 582033 830727 830727 129693     84 394355 703399 833990
 408763 833990 131692 131692 657265 657226 703399 657226 657265 131692
 701298 833990 701298 833990 701298 131692 758143 758143 758143 758143
  44187 262747 760083  88353 190465 554797 307138   1334 307138  88353
     45 554797   1334  88353 190465 262747 204601 264585 105965 204601
 294081 294081 703399 657226 703399 294081 408763  73700 131692 657265
 657226 833990 701298 833990 131692 701298 833990 701298 439036 833990
 701298 758143 830727 190588 556581 514037 863279 632869 556581 190588
  44187 788892 467483  74472 585275    368 496601 687623 660498 687623
 800297 850363 800297 850363 839021 830727 743323 920285 704512 131692
 439036 833990 131692 703399 131692 294081 408763 701298 703399 657226
 408763 703399 408763  73700 179795 920285 660498 687623 920285 687623
 920285 704512 920285 687623 920285 687623 920285 379904 146254 379904
 526165 672683 336004 423394 394347 350613 248458 760304    368 175463
 117258 160702 875914 190465 277091 758143 193387 219052 919572 263471
 587140 701307 548834 525851  29773 102491 219048 219765 336004 530831
 582034 633248 633248 168852 713968 847440 144310 144310 144310 144310
 761633 400560 761633 400560 761633 400560 115240 862523 366182 890845
 735720 161689  78412 380740 161689  31288 151433 424383 220582 408763
 131692 703399 131692 131692 833990 701298 701298 408763 758143 144310
 758143 743323 758143 743323 758143 587140 377800 377800 290042 217148
 800297 657247 394072 453227 453227 219090 919634 760055 219090 919634
 146247 423310 453227 219090 919634 146247 262600 146247 219090 453227
 146247 262600 818109 219090 453227 219090 919634 146247 313025 313025
 408763 262600 453227 408763 219090 657247 453227 219090 919634 146247
 262600  14740  14740 672830 408763 657247 219090 146247 453227 672830
 657247 453227 219090 919634 146247  14740 219090 146247 262600 102491
 613527 102491 102491 249306 877011 526877 468612 234806 102491 613527
 160967 613527 613527 233746 657825    892 233746 219090 262600 219090
 453227 262600 377800  57061 669915 377800 801684 743324 102491 613527
  14740 102491 453227 219090 672830 219090 613527 252877 405381  82066
 301697 809272 774672 745299  88504 277365 408549 613670 408765 905098
 511123 890555 379740 745299 861506 861506 592988 238558 308540 427577
 308540 613501 613501 628782 628782 706868 692025 440683 799985 355912
 235440 569393 569393 874049 613527 745299 745299 569393 745299 745299
 569393 745299 569393 745299 745299 745299 745299 745299 745299 745299
 569393 745299 569393 745299 308540 613527 745299 861506 745299 587140
 168852 168852 713968 144310 633248 728538 728538 173518 669916 743325
 874050 743325 669916 669916 702529 147499 293221 861665 888584 888584
 658425 147499 293221 424623 293221 249424 366466 366466 425791 556008
 425791 395302 888584 613527 613527 556008  89160 468741  89160 383024
 176647 103711 585214 862791 906276 132912 103711 888584 102491 425791
 585214 862791 176647 862787 425791 133934   2451 717095 454189  16008]",147494,570492
12,[730468 467454 322229 ...  44213  44213  44213],44213,365351
13,"[832830 394109 832830 832830 306734 438297 805871 438377 702986 483709
 204578 628197 306734 306734 306734 306734 628197 570736 204578 147075
 760184 438960 876716 833016 468302 204341 336403  88111 512552 219469
 219469 219469 132665    177 292033 716770 731385 762033 731385 731385
 876327 718726  88366  88793 439004 468347  73644 718726 745521 745521
 194226   1753  16040 584100 731385 762033  88366 214366 688001 657593
 528299 323272 657593 291989 336817 890817 483938 323273 760201 864064
 791153 223265 791153 791153 791153 791153 921380  46135 292053 921380
 921380 921380 921380 921380 438297 438297 541592 644389 919879 117522
 614984 919879 102512 352268 833650 570622 352268 408832 673080 848399
 853024 673363 586090 339031 102907 219090 862886 262602 745521 905996
 745521 849728   1318 394083 255453  31852  45445 630827 103350 834167
 630827 630827 804640 834167  45445 715900 207352  14758  44221 207352
 803631 438313 496841 496841 888587 512770 888587 512770 512770 512770
 512770 512770 512770 118710 512770 161595 613430 847916 118710 512770
 512770 118710 306718 877250 642986 805261 306718 877250 496841 905326
 438313 438313 338050 438313 338050 117143 657500 176542 263087 117143
 117143 525769 775821 862912 146523 117143 540372 365729  73829 715900
 657218 715900 715900 146523 540372 846994 408582    654 204591  73456
 102473 131898  14992  14992 365239 541085 408630 511388 538356 423308
  75073 570134 307352 146244 146244 628461 628461 307352 307352 278012
 905116 847067 919618 570133  29719 277098 570133 751091 751091 277546
 713973  30947 672476 905997 672097 306681 379663 730497 628167 306681
 847009 219772 483962 760097 863667  44224 788822 512770 832552 863332
 642754 204987 643378 863667 453575 603491 780375 453575 249074 482080
 642754 832552 832552 585248 585248 249074 249074 658548 891901 775250
 775250 775250  88355 350603 847289 890979 861931 220358 221028 204603
 365618 760332 540193 586091 525909 686804 774939 774939 662489  64037
 321360 525909 336565 336565  37178   7699 401637 518709 599086 760332
 775250 673129 673129  60104 321360 104983 586091 891901 760097 483962
 673129 162612 162612  74265 379638 905487  77581  74265  74265  77581
 350912 438200 716200 511412 175507 716204 555408  58945 919895]",919895,306738
14,[715900 525766  59001 ... 102473 452877 423309],321328,482046
15,[ 88776 734476 351460 ... 540621 643079 423831],543539,134300
